goods_code,day,qty
941047,20191123,499.0
941047,20191109,485.0
941047,20191113,459.0
447813,20191209,434.0
941047,20191124,419.0
941047,20191103,385.0
941047,20191111,380.0
941047,20191110,364.0
941047,20191117,364.0
915660,20191214,361.0
486282,20191212,336.0
919886,20200105,336.0
941047,20191130,333.0
941047,20191207,309.0
161729,20191115,305.0
919886,20200104,300.0
941047,20191208,290.0
919886,20191229,285.0
941047,20191201,279.0
941047,20191102,267.0
941047,20191104,267.0
941047,20191112,257.0
941047,20191118,253.0
919886,20191222,249.0
941047,20191108,247.0
970863,20191103,245.0
910505,20191207,244.0
941047,20191107,243.0
941047,20191114,237.0
941047,20191125,230.0
941047,20191101,229.0
927962,20191113,227.0
919886,20191223,226.0
941047,20191126,225.0
381525,20191123,219.0
915660,20191215,216.0
188847,20191115,212.0
919886,20191221,211.0
919886,20200103,210.0
956730,20191103,204.0
970103,20191113,202.0
941047,20191105,195.0
956730,20191102,195.0
910505,20191130,193.0
941047,20191121,192.0
956730,20191104,192.0
970103,20191110,192.0
910505,20191123,188.0
910505,20191223,187.0
919886,20191228,186.0
927962,20191111,186.0
910505,20191111,185.0
910505,20191113,185.0
975409,20191201,185.0
941047,20191031,184.0
956730,20191108,183.0
970863,20191102,180.0
941047,20191129,176.0
941047,20191119,174.0
941047,20191115,172.0
919886,20191224,171.0
941047,20191203,171.0
927962,20191109,170.0
938704,20191117,170.0
910505,20191109,166.0
919886,20200101,166.0
188847,20191109,165.0
979815,20191111,164.0
941047,20191209,162.0
600361,20191111,161.0
910505,20191102,161.0
910505,20191214,161.0
941047,20191120,160.0
941047,20191210,160.0
915660,20191217,159.0
941047,20191122,159.0
941047,20191211,159.0
381525,20191214,158.0
677914,20191213,158.0
381525,20191110,157.0
919886,20191226,157.0
975409,20191123,157.0
927962,20191123,156.0
970103,20191109,156.0
978726,20191124,156.0
910505,20191104,154.0
927962,20191110,154.0
927962,20191103,152.0
203687,20191112,151.0
915660,20191216,151.0
941047,20191212,150.0
927962,20191130,149.0
941047,20191106,149.0
878181,20191123,147.0
970103,20191111,147.0
910505,20191124,145.0
970103,20191103,145.0
381525,20191130,144.0
600361,20191114,144.0
978726,20191214,144.0
918771,20191113,143.064
892166,20191113,142.0
910505,20191221,142.0
927962,20200106,142.0
941047,20191205,141.0
919886,20200106,140.0
927962,20191112,140.0
956730,20191031,140.0
918771,20191123,139.61700000000002
600361,20191113,139.0
910505,20191103,139.0
970863,20191114,139.0
381525,20191109,138.0
919886,20191230,138.0
941047,20191127,138.0
188847,20191111,137.0
927962,20191207,137.0
927962,20191124,136.0
918771,20191103,135.66400000000002
919886,20191231,135.0
978726,20191123,135.0
979815,20191113,135.0
484543,20191208,134.0
910505,20191206,134.0
910505,20191228,134.0
978726,20191201,134.0
381525,20191113,133.0
927962,20200105,133.0
941047,20191202,133.0
975409,20191130,133.0
970863,20191108,132.0
975409,20191208,132.0
831826,20191103,131.0
927962,20191214,131.0
188847,20191114,130.0
603498,20191115,129.0
878181,20191124,129.0
910505,20200105,129.0
918771,20191124,128.707
978726,20191207,128.0
981332,20191123,128.0
910505,20191208,127.0
922286,20191111,127.0
484543,20191103,126.0
600361,20191103,126.0
878181,20191201,126.0
919886,20200102,126.0
927962,20191117,126.0
927962,20191203,126.0
941047,20191206,126.0
970103,20191112,126.0
918771,20191111,125.98399999999997
381525,20191115,125.0
472084,20191215,125.0
941047,20191204,125.0
970863,20191107,125.0
918771,20191109,124.13899999999998
927962,20191208,124.0
927962,20191229,124.0
918771,20191104,123.13099999999997
919886,20200108,123.0
918771,20191114,122.63499999999998
